feature,spearman,pearson_on_logy,decile_monot_r2_signed,mse_reduction,decile_med_lift_log,top_decile_5x_rate,top_over_bottom_5x_ratio,combined_score
unique_sellers_ext,-0.05097022663579444,-0.11807202028209665,-0.12128903948457638,169.94944165960987,-0.03318226511887801,0.06134969325153374,0.273972602739726,1.240971274389239
volume_usd_ext,-0.0362619800325282,-0.08057502712446457,-0.12879427878449193,389.40939637067277,0.011223396821927967,0.07098765432098765,0.3770491803278688,1.2223103756783544
buy_size,-0.048167155924149635,-0.011453060282605527,-0.2710105692610398,76.36597722436636,0.007389071795374624,0.12962962962962962,0.7924528301886792,1.1245866561734394
bundled_buys,-0.030421370908798404,-0.03266066223927819,-0.150223531107327,12.310435087500082,-0.09582803140061324,0.11428571428571428,1.5904761904761904,1.101583382985658
buy_transactions_ext,0.015380856659539567,-0.09404988174498545,0.03535190725545475,56.53459840089636,0.1162081365144938,0.06172839506172839,0.4307853953244024,0.9856674281318228
buy_count,0.015380856659539567,-0.09404988174498545,0.03535190725545475,56.53459840089636,0.1162081365144938,0.06172839506172839,0.4307853953244024,0.9856674281318228
amount_of_lookup_writes,-0.03793767244624078,-0.04133515403978334,-0.01872863839776801,21.074105358638917,-0.019438304052429523,0.13636363636363635,0.8565340909090908,0.972272210415002
sell_transactions_ext,-0.042129344943478156,-0.10124763396997097,-0.17701837250951263,72.49638138851515,0.011365474798588182,0.052307692307692305,0.3009986504723347,0.9634725883851176
sell_count,-0.042129344943478156,-0.10124763396997097,-0.17701837250951263,72.49638138851515,0.011365474798588182,0.052307692307692305,0.3009986504723347,0.9634725883851176
sn_repeat_buyer_count,0.0258647149033647,-0.030128454395637713,0.10348404769066721,11.746755530155497,0.07113124704874307,0.10975609756097561,0.9339622641509433,0.9225838877751036
pa_n_sells,-0.01655257113131366,-0.03436206522874165,-0.0031661593119680894,119.82765373411894,0.08481512612568332,0.10185185185185185,0.8053402239448751,0.8932641512676998
sn_first_trade_delay_s,-0.01965349406395187,0.04947420742714353,-0.0,6.300242260527739,-0.0212504516648947,0.1267361111111111,1.1848041373239435,0.8380127047424499
n_trades_ext,-0.006854567812273873,-0.1037963650930403,-0.0071689421858538846,57.885427087257995,0.06192698277588382,0.05555555555555555,0.36734693877551017,0.7771933794875934
deals_count,-0.006854567812273873,-0.1037963650930403,-0.0071689421858538846,57.885427087257995,0.06192698277588382,0.05555555555555555,0.36734693877551017,0.7771933794875934
volume_per_second_ext,-0.0009236506496528968,0.0037313926954961763,-0.0055397880414492975,41.270119552897086,0.06455643419204615,0.11419753086419752,1.5416666666666667,0.6157656255362585
bundled_buys_count,-0.016748670047135476,0.004422513196342804,-0.0,0.4938676412930363,-0.0014816113533542286,0.11128575919522163,1.006573439911836,0.4533475196092501
